Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
5.00000e-01   6.50000e+00   7.94205e-10   1.59473e-03   1.98879e-08  
5.00000e-01   7.00000e+00   8.07667e-10   1.56458e-03   2.04190e-08  
5.00000e-01   7.50000e+00   7.19779e-10   1.51073e-03   1.85185e-08  
5.00000e-01   8.00000e+00   7.30589e-10   1.47011e-03   1.90546e-08  
5.00000e-01   8.50000e+00   6.31754e-10   1.42783e-03   1.67190e-08  
5.00000e-01   9.00000e+00   6.43950e-10   1.38759e-03   1.72871e-08  
5.00000e-01   9.50000e+00   6.52346e-10   1.34141e-03   1.78113e-08  
5.50000e-01   0.00000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   5.00000e-01   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   1.00000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   1.50000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   2.00000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   2.50000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   3.00000e+00   8.45542e-10   1.30442e-03   2.34114e-08  
5.50000e-01   3.50000e+00   8.46615e-10   1.30442e-03   2.34411e-08  
5.50000e-01   4.00000e+00   8.46615e-10   1.30442e-03   2.34411e-08  
5.50000e-01   4.50000e+00   8.47691e-10   1.30153e-03   2.34969e-08  
5.50000e-01   5.00000e+00   8.52021e-10   1.30009e-03   2.36300e-08  
5.50000e-01   5.50000e+00   8.55298e-10   1.28528e-03   2.38571e-08  
5.50000e-01   6.00000e+00   8.55298e-10   1.27312e-03   2.39708e-08  
5.50000e-01   6.50000e+00   8.38633e-10   1.24963e-03   2.37236e-08  
5.50000e-01   7.00000e+00   8.48499e-10   1.23107e-03   2.41830e-08  
5.50000e-01   7.50000e+00   7.52270e-10   1.19632e-03   2.17495e-08  
5.50000e-01   8.00000e+00   7.60327e-10   1.16315e-03   2.22938e-08  
5.50000e-01   8.50000e+00   6.56986e-10   1.14671e-03   1.94012e-08  
5.50000e-01   9.00000e+00   6.69637e-10   1.12703e-03   1.99468e-08  
5.50000e-01   9.50000e+00   6.77088e-10   1.10182e-03   2.03981e-08  
6.00000e-01   0.00000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   5.00000e-01   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   1.00000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   1.50000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   2.00000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   2.50000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   3.00000e+00   6.07980e-10   1.03606e-03   1.88884e-08  
6.00000e-01   3.50000e+00   6.08810e-10   1.03606e-03   1.89142e-08  
6.00000e-01   4.00000e+00   6.08810e-10   1.03606e-03   1.89142e-08  
6.00000e-01   4.50000e+00   6.08810e-10   1.03606e-03   1.89142e-08  
6.00000e-01   5.00000e+00   6.12150e-10   1.03462e-03   1.90313e-08  
6.00000e-01   5.50000e+00   6.14680e-10   1.02430e-03   1.92059e-08  
6.00000e-01   6.00000e+00   6.14680e-10   1.01358e-03   1.93072e-08  
6.00000e-01   6.50000e+00   6.17230e-10   1.00430e-03   1.94767e-08  
6.00000e-01   7.00000e+00   6.23265e-10   9.99755e-04   1.97118e-08  
6.00000e-01   7.50000e+00   6.29418e-10   9.74734e-04   2.01603e-08  
6.00000e-01   8.00000e+00   6.36601e-10   9.52974e-04   2.06218e-08  
6.00000e-01   8.50000e+00   5.35081e-10   9.46593e-04   1.73915e-08  
6.00000e-01   9.00000e+00   5.44482e-10   9.31422e-04   1.78406e-08  
6.00000e-01   9.50000e+00   5.50120e-10   9.15888e-04   1.81776e-08  
6.50000e-01   0.00000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   5.00000e-01   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   1.00000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   1.50000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   2.00000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   2.50000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   3.00000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   3.50000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   4.00000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   4.50000e+00   6.40996e-10   7.80800e-04   2.29396e-08  
6.50000e-01   5.00000e+00   6.43950e-10   7.80800e-04   2.30453e-08  
6.50000e-01   5.50000e+00   6.43950e-10   7.76470e-04   2.31095e-08  
6.50000e-01   6.00000e+00   6.43950e-10   7.68790e-04   2.32246e-08  
6.50000e-01   6.50000e+00   6.46932e-10   7.61110e-04   2.34496e-08  
6.50000e-01   7.00000e+00   6.52978e-10   7.59512e-04   2.36936e-08  
6.50000e-01   7.50000e+00   6.56043e-10   7.48206e-04   2.39840e-08  
6.50000e-01   8.00000e+00   6.62262e-10   7.36415e-04   2.44044e-08  
6.50000e-01   8.50000e+00   5.56279e-10   7.30587e-04   2.05805e-08  
6.50000e-01   9.00000e+00   5.65280e-10   7.22012e-04   2.10374e-08  
6.50000e-01   9.50000e+00   5.68963e-10   7.12596e-04   2.13139e-08  
7.00000e-01   0.00000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   5.00000e-01   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   1.00000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   1.50000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   2.00000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   2.50000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   3.00000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   3.50000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   4.00000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   4.50000e+00   6.76148e-10   6.19545e-04   2.71647e-08  
7.00000e-01   5.00000e+00   6.78409e-10   6.19545e-04   2.72556e-08  
7.00000e-01   5.50000e+00   6.78409e-10   6.15216e-04   2.73513e-08  
7.00000e-01   6.00000e+00   6.78409e-10   6.13773e-04   2.73834e-08  
7.00000e-01   6.50000e+00   6.79546e-10   6.09134e-04   2.75336e-08  
7.00000e-01   7.00000e+00   6.86445e-10   6.07536e-04   2.78496e-08  
7.00000e-01   7.50000e+00   6.88775e-10   5.99947e-04   2.81204e-08  
7.00000e-01   8.00000e+00   6.93485e-10   5.94632e-04   2.84389e-08  
7.00000e-01   8.50000e+00   5.81883e-10   5.93189e-04   2.38913e-08  
7.00000e-01   9.00000e+00   5.90007e-10   5.90147e-04   2.42872e-08  
7.00000e-01   9.50000e+00   5.91038e-10   5.87273e-04   2.43891e-08  
7.50000e-01   0.00000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   5.00000e-01   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   1.00000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   1.50000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   2.00000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   2.50000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   3.00000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   3.50000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   4.00000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   4.50000e+00   5.67510e-10   4.87430e-04   2.57050e-08  
7.50000e-01   5.00000e+00   5.69559e-10   4.87430e-04   2.57978e-08  
7.50000e-01   5.50000e+00   5.69559e-10   4.87430e-04   2.57978e-08  
7.50000e-01   6.00000e+00   5.69559e-10   4.87430e-04   2.57978e-08  
7.50000e-01   6.50000e+00   5.69559e-10   4.84389e-04   2.58786e-08  
7.50000e-01   7.00000e+00   5.75795e-10   4.84389e-04   2.61620e-08  
7.50000e-01   7.50000e+00   5.77904e-10   4.76801e-04   2.64659e-08  
7.50000e-01   8.00000e+00   5.81097e-10   4.76801e-04   2.66122e-08  
7.50000e-01   8.50000e+00   5.83245e-10   4.75357e-04   2.67511e-08  
7.50000e-01   9.00000e+00   5.88686e-10   4.73760e-04   2.70461e-08  
7.50000e-01   9.50000e+00   5.88686e-10   4.71640e-04   2.71068e-08  
Candidate type    Total entries    After A' mass cut   After transverse flight distance cut     After eta mass cut     Signal significance after mu + A' _fiducial cut: 
S    			   686737    			2336   			12 				2336				3.401593e-03
EMB    			   694228    			67    			67 				67				9.651008e-05
B    			   77655699    			10775    			10775 				121				1.387535e-04
misID    		   -1316137386    			95951400    			10174900 				100550				-7.290379e-02
Figure of merit after mu + A' + fiducial cut:  4.729815e-11 
