Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.128205   0.038462   0.000000   0.000000 
  0.064935   0.008658   0.002165   0.000000 
  0.186014   0.031469   0.003147   0.000000 
  0.075758   0.022282   0.003572   0.000000 
  0.135979   0.017728   0.001615   0.000000 
  0.061920   0.012384   0.000000   0.000000 
  0.100800   0.048000   0.003200   0.000000 
  0.027778   0.020833   0.003472   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.095652   0.024348   0.005217   0.000000 
  0.069565   0.000000   0.000000   0.000000 
  0.031746   0.031746   0.000000   0.000000 
  0.075717   0.010817   0.003251   0.000000 
  0.087440   0.023847   0.004769   0.000000 
  0.171352   0.048193   0.011900   0.000000 
  0.114833   0.047847   0.000000   0.000000 
  0.147597   0.012891   0.004884   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.038462   0.023077   0.000000   0.000000 
  0.154537   0.020126   0.005039   0.000000 
  0.073684   0.015789   0.000000   0.000000 
  0.112949   0.010415   0.003899   0.000000 
  0.011342   0.000000   0.000000   0.000000 
  0.077586   0.019704   0.000000   0.000000 
  0.132149   0.028099   0.006945   0.000000 
  0.061444   0.005120   0.000000   0.000000 
  0.108997   0.018166   0.001298   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.049655   0.022069   0.000000   0.000000 
  0.106253   0.021983   0.007701   0.000000 
  0.133800   0.022556   0.002051   0.000000 
  0.055556   0.011111   0.002778   0.000000 
  0.048258   0.011611   0.000726   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.141414   0.031401   0.006593   0.000000 
  0.097656   0.035156   0.000000   0.000000 
  0.021008   0.016807   0.000000   0.000000 
  0.076531   0.006378   0.002558   0.000000 
  0.180602   0.105351   0.040183   0.000000 
  0.064103   0.038462   0.012821   0.000000 
  0.030000   0.000000   0.000000   0.000000 
  0.071429   0.035714   0.007143   0.000000 
  0.100000   0.050000   0.000000   0.000000 
  0.107143   0.008929   0.000000   0.000000 
  0.119812   0.009014   0.001127   0.000000 
  0.015909   0.006818   0.000000   0.000000 
  0.285714   0.085714   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.137897   0.024659   0.006058   0.000000 
  0.113576   0.029281   0.010670   0.000000 
  0.054167   0.017857   0.000000   0.000000 
  0.211593   0.018492   0.004980   0.000000 
  0.077562   0.041551   0.000000   0.000000 
  0.072016   0.013717   0.006873   0.000000 
  0.166317   0.026961   0.007003   0.000000 
  0.114286   0.019048   0.002381   0.000000 
  0.071429   0.017857   0.000000   0.000000 
  0.062500   0.062500   0.000000   0.000000 
  0.046019   0.008766   0.001486   0.000000 
  0.240741   0.042735   0.021413   0.000000 
  0.090909   0.090909   0.045833   0.000000 
  0.008333   0.000000   0.000000   0.000000 
  0.205882   0.044118   0.000000   0.000000 
  0.146739   0.010870   0.000000   0.000000 
  0.061404   0.010965   0.001462   0.000000 
  0.070513   0.015385   0.005128   0.000000 
  0.096154   0.028846   0.000000   0.000000 
  0.107143   0.000000   0.000000   0.000000 
  0.075000   0.025000   0.000000   0.000000 
  0.041667   0.025000   0.004167   0.000000 
  0.081159   0.013527   0.007251   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.088889   0.015556   0.001857   0.000000 
  0.200893   0.017857   0.009184   0.000000 
  0.054348   0.003623   0.000000   0.000000 
  0.120000   0.028125   0.008766   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.051948   0.038961   0.006494   0.000000 
  0.013158   0.000000   0.000000   0.000000 
  0.037461   0.015609   0.003122   0.000000 
  0.085106   0.023168   0.011849   0.000000 
  0.154342   0.019615   0.004200   0.000000 
  0.084034   0.009337   0.000000   0.000000 
  0.076087   0.016304   0.003623   0.000000 
  0.013889   0.003472   0.000000   0.000000 
  0.042533   0.006616   0.001418   0.000000 
  0.031621   0.000000   0.000000   0.000000 
  0.056980   0.014245   0.000723   0.000000 
  0.133333   0.066667   0.000000   0.000000 
  0.079545   0.005682   0.000000   0.000000 
  0.154643   0.020718   0.001480   0.000000 
  0.139860   0.083916   0.000000   0.000000 
  0.118902   0.024390   0.004878   0.000000 
  0.124888   0.039251   0.012489   0.000000 
  0.107215   0.015162   0.000541   0.000000 
  0.032000   0.006400   0.000000   0.000000 
  0.235555   0.037704   0.003962   0.000000 
  0.085366   0.025610   0.012195   0.000000 
  0.069136   0.037037   0.000000   0.000000 
  0.081667   0.023333   0.001113   0.000000 
  0.087464   0.011370   0.002332   0.000000 
  0.122605   0.026683   0.004936   0.000000 
  0.075802   0.007497   0.001249   0.000000 
  0.084677   0.016129   0.012124   0.000000 
  0.140351   0.007018   0.000000   0.000000 
  0.028571   0.009524   0.000000   0.000000 
  0.164609   0.020576   0.001372   0.000000 
  0.125126   0.022245   0.006067   0.000000 
  0.135955   0.031461   0.003373   0.000000 
  0.166090   0.010381   0.000000   0.000000 
  0.072568   0.014354   0.004785   0.000000 
  0.077219   0.024458   0.005594   0.000000 
  0.177907   0.008721   0.000581   0.000000 
  0.019608   0.003922   0.003922   0.000000 
  0.059113   0.004926   0.000000   0.000000 
