Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
1.00000e-02   1.00000e-01   3.90813e-04   2.20720e-01   9.42999e-01   4.05459e-01   4.02452e-04   6.13756e-04  
1.00000e-02   2.00000e-01   3.75037e-04   2.18860e-01   8.89513e-01   3.73673e-01   3.97647e-04   6.13519e-04  
1.00000e-02   3.00000e-01   3.63317e-04   2.16690e-01   8.45585e-01   3.45865e-01   3.95100e-04   6.17777e-04  
1.00000e-02   4.00000e-01   3.50695e-04   2.14520e-01   8.04139e-01   3.21779e-01   3.91079e-04   6.18232e-04  
1.00000e-02   5.00000e-01   3.38299e-04   2.12350e-01   7.66415e-01   3.01105e-01   3.86429e-04   6.16513e-04  
1.00000e-02   6.00000e-01   3.31312e-04   2.11730e-01   7.38081e-01   2.82381e-01   3.85643e-04   6.23477e-04  
1.00000e-02   7.00000e-01   3.19142e-04   2.07080e-01   7.04717e-01   2.65757e-01   3.80169e-04   6.19073e-04  
1.00000e-02   8.00000e-01   3.10803e-04   2.06460e-01   6.77631e-01   2.50141e-01   3.77562e-04   6.21430e-04  
1.00000e-02   9.00000e-01   3.02463e-04   2.04290e-01   6.52325e-01   2.36305e-01   3.74490e-04   6.22209e-04  
1.00000e-02   1.00000e+00   2.94350e-04   2.01500e-01   6.28504e-01   2.23644e-01   3.71287e-04   6.22421e-04  
1.00000e-02   1.10000e+00   2.88490e-04   1.98710e-01   6.08779e-01   2.11979e-01   3.69744e-04   6.26591e-04  
1.00000e-02   1.20000e+00   2.81277e-04   1.97780e-01   5.88074e-01   2.01194e-01   3.66791e-04   6.27087e-04  
1.00000e-02   1.30000e+00   2.78122e-04   1.97160e-01   5.74205e-01   1.91665e-01   3.67031e-04   6.35279e-04  
1.00000e-02   1.40000e+00   2.73840e-04   1.95610e-01   5.59480e-01   1.82830e-01   3.66104e-04   6.40432e-04  
1.00000e-02   1.50000e+00   2.68205e-04   1.93750e-01   5.43414e-01   1.74514e-01   3.63833e-04   6.42025e-04  
1.00000e-02   1.60000e+00   2.64599e-04   1.92820e-01   5.31157e-01   1.67217e-01   3.63059e-04   6.47066e-04  
1.00000e-02   1.70000e+00   2.60993e-04   1.91270e-01   5.19441e-01   1.60461e-01   3.62127e-04   6.51544e-04  
1.00000e-02   1.80000e+00   2.57162e-04   1.90340e-01   5.08144e-01   1.54434e-01   3.60755e-04   6.54386e-04  
1.00000e-02   1.90000e+00   2.54006e-04   1.89100e-01   4.98021e-01   1.48651e-01   3.59932e-04   6.58811e-04  
1.00000e-02   2.00000e+00   2.49273e-04   1.87240e-01   4.85894e-01   1.43034e-01   3.57606e-04   6.59108e-04  
1.00000e-02   2.10000e+00   2.45216e-04   1.86000e-01   4.75110e-01   1.37830e-01   3.55756e-04   6.60507e-04  
1.00000e-02   2.20000e+00   2.41385e-04   1.84450e-01   4.65014e-01   1.33004e-01   3.53979e-04   6.61878e-04  
1.00000e-02   2.30000e+00   2.38004e-04   1.83830e-01   4.55847e-01   1.28487e-01   3.52513e-04   6.63981e-04  
