Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.116424   0.024948   0.000693   0.000000 
  0.093093   0.020696   0.004545   0.000081 
  0.107015   0.007134   0.000000   0.000000 
  0.106294   0.012587   0.006993   0.000000 
  0.143273   0.029509   0.010095   0.000000 
  0.192402   0.035478   0.003591   0.000000 
  0.075000   0.016667   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.029240   0.023392   0.000000   0.000000 
  0.142610   0.022225   0.007408   0.000123 
  0.126013   0.021002   0.004200   0.000100 
  0.103475   0.026653   0.003920   0.000000 
  0.074074   0.007937   0.000000   0.000000 
  0.151703   0.092879   0.049536   0.000000 
  0.134799   0.026862   0.003663   0.000000 
  0.104949   0.017889   0.000000   0.000000 
  0.130032   0.019900   0.002714   0.000000 
  0.117647   0.011765   0.000000   0.000000 
  0.152139   0.011439   0.001373   0.000000 
  0.014354   0.000000   0.000000   0.000000 
  0.156250   0.008929   0.001488   0.000000 
  0.025000   0.025000   0.000000   0.000000 
  0.158730   0.023180   0.007370   0.000000 
  0.053846   0.053846   0.000000   0.000000 
  0.217949   0.031674   0.001508   0.000000 
  0.145390   0.031028   0.000665   0.000000 
  0.033333   0.016667   0.000000   0.000000 
  0.122727   0.019643   0.003896   0.000000 
  0.050000   0.025000   0.000000   0.000000 
  0.143862   0.012788   0.000000   0.000000 
  0.049536   0.012384   0.000000   0.000000 
  0.102273   0.011364   0.011364   0.000000 
  0.081000   0.005833   0.000500   0.000000 
  0.041667   0.014881   0.009524   0.000000 
  0.053571   0.001786   0.000000   0.000000 
  0.067155   0.011111   0.000977   0.000000 
  0.035556   0.008889   0.004444   0.000000 
  0.096886   0.069204   0.006920   0.000000 
  0.150377   0.023592   0.004461   0.000000 
  0.035282   0.010081   0.000000   0.000000 
  0.025000   0.008333   0.000000   0.000000 
  0.106908   0.015789   0.002961   0.000000 
  0.112847   0.007812   0.000000   0.000000 
  0.102564   0.038462   0.006410   0.000000 
  0.093809   0.018762   0.001876   0.000000 
  0.145161   0.018433   0.004608   0.000000 
  0.161702   0.028555   0.004031   0.000000 
  0.163081   0.033576   0.007994   0.000000 
  0.106045   0.022541   0.007684   0.000512 
  0.083333   0.020833   0.001157   0.000000 
  0.088889   0.017778   0.002963   0.000000 
  0.072022   0.006156   0.003693   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.095694   0.025518   0.000000   0.000000 
  0.142098   0.016379   0.003448   0.000072 
  0.097403   0.008658   0.000000   0.000000 
  0.108437   0.037221   0.019107   0.000248 
  0.113636   0.113636   0.000000   0.000000 
  0.048352   0.011722   0.000733   0.000000 
  0.050000   0.010000   0.000000   0.000000 
  0.112500   0.023810   0.003571   0.000000 
  0.140285   0.038510   0.011003   0.000000 
  0.114150   0.028537   0.003567   0.000000 
  0.100000   0.009524   0.002381   0.000000 
  0.121147   0.025960   0.005408   0.000000 
  0.102632   0.023026   0.000000   0.000000 
  0.144127   0.025602   0.008434   0.000000 
  0.019608   0.006536   0.000000   0.000000 
  0.094737   0.042105   0.010526   0.000000 
  0.055462   0.005042   0.003361   0.000000 
  0.144110   0.019737   0.008615   0.000000 
  0.059524   0.019048   0.002381   0.000000 
  0.098765   0.014815   0.002469   0.000000 
  0.106061   0.050505   0.005051   0.000000 
  0.068182   0.020455   0.000000   0.000000 
  0.055363   0.000000   0.000000   0.000000 
  0.181737   0.018352   0.004445   0.000000 
  0.164978   0.028198   0.011902   0.000000 
  0.125000   0.016667   0.000000   0.000000 
  0.155288   0.020824   0.008181   0.000000 
  0.100000   0.023810   0.000000   0.000000 
  0.178571   0.014881   0.004464   0.000000 
  0.032680   0.009804   0.000000   0.000000 
  0.063492   0.015873   0.000000   0.000000 
  0.160069   0.025244   0.005164   0.000000 
  0.017544   0.005848   0.000000   0.000000 
  0.029240   0.005848   0.000000   0.000000 
  0.048611   0.021605   0.015432   0.000000 
  0.041522   0.013841   0.000000   0.000000 
  0.052941   0.017647   0.000000   0.000000 
  0.075235   0.014629   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.113514   0.027027   0.000000   0.000000 
  0.045918   0.030612   0.000000   0.000000 
  0.032967   0.021978   0.000000   0.000000 
  0.100000   0.020000   0.000000   0.000000 
  0.123167   0.020528   0.004888   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.146087   0.019565   0.005217   0.000000 
  0.076197   0.031930   0.008708   0.000000 
  0.113636   0.022727   0.000000   0.000000 
  0.124082   0.024490   0.000000   0.000000 
  0.107143   0.035714   0.000000   0.000000 
  0.142857   0.142857   0.000000   0.000000 
  0.180000   0.060000   0.000000   0.000000 
  0.028409   0.011364   0.000000   0.000000 
  0.050000   0.025000   0.012500   0.000000 
  0.133092   0.023186   0.000903   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.093750   0.020833   0.006944   0.000000 
  0.063636   0.027273   0.000000   0.000000 
  0.053571   0.025510   0.002551   0.000000 
  0.032609   0.017391   0.002174   0.000000 
  0.055556   0.011111   0.003704   0.000000 
  0.037634   0.012903   0.000000   0.000000 
  0.012346   0.012346   0.000000   0.000000 
  0.060000   0.011111   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.113186   0.022637   0.005942   0.000000 
  0.098462   0.006154   0.000000   0.000000 
  0.051429   0.011429   0.002857   0.000000 
  0.023810   0.023810   0.000000   0.000000 
  0.017361   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.204403   0.050314   0.012491   0.000262 
  0.000000   0.000000   0.000000   0.000000 
  0.135385   0.013846   0.003077   0.000000 
  0.082237   0.019737   0.000000   0.000000 
  0.214458   0.013706   0.005173   0.000000 
  0.015306   0.010204   0.000000   0.000000 
  0.175532   0.021941   0.003989   0.000000 
  0.076655   0.008711   0.001161   0.000000 
  0.050000   0.025000   0.000000   0.000000 
  0.074324   0.018018   0.000000   0.000000 
  0.142610   0.019262   0.002469   0.000123 
  0.000000   0.000000   0.000000   0.000000 
  0.118721   0.015342   0.003653   0.000000 
  0.076655   0.003484   0.000000   0.000000 
  0.037037   0.018519   0.000000   0.000000 
  0.082418   0.043956   0.000000   0.000000 
  0.076638   0.012949   0.002378   0.000000 
  0.154791   0.019656   0.007371   0.000000 
  0.081818   0.054545   0.000000   0.000000 
  0.134019   0.016264   0.004465   0.000000 
  0.114783   0.069565   0.020870   0.001739 
  0.052989   0.021739   0.005435   0.000000 
  0.170012   0.017710   0.006559   0.000000 
  0.088276   0.002759   0.000000   0.000000 
  0.100000   0.000000   0.000000   0.000000 
  0.266667   0.266667   0.000000   0.000000 
  0.091742   0.011988   0.000999   0.000000 
  0.058824   0.000000   0.000000   0.000000 
  0.104325   0.021040   0.002630   0.000000 
  0.143295   0.019668   0.002682   0.000128 
